#total_s  init_s    gen_s     mult_s  cores size
0.2229228 0.0001024 0.0103816 0.2124388 1 512
7.3285032 8.92e-05 0.0336656 7.2947484 1 1024
74.5508206 8.78e-05 0.0821458 74.468587 1 2048
728.381565 0.000102 0.2932984 728.0881646 1 4096
0.2629434 8.22e-05 0.10185 0.1610112 2 512
4.172959 0.0001102 0.410343 3.7625058 2 1024
41.2953924 0.0001102 1.6112314 39.6840508 2 2048
387.319429 9.38e-05 6.7795374 380.5397978 2 4096
0.2536428 5.28e-05 0.1428184 0.1107716 3 512
3.191769 7.5e-05 0.6151534 2.5765406 3 1024
29.998098 8.2e-05 3.0061964 26.9918196 3 2048
287.150105 7.94e-05 13.2549148 273.8951108 3 4096
0.2042892 4.12e-05 0.11953 0.084718 4 512
2.4089484 5.38e-05 0.4916976 1.917197 4 1024
23.4132868 8.78e-05 2.6483742 20.7648248 4 2048
229.9758476 0.0001028 10.624216 219.3515288 4 4096
0.2606714 9.7e-05 0.1166058 0.1439686 5 512
2.800796 0.0001104 0.4794672 2.3212184 5 1024
27.6943614 0.0001106 2.496377 25.1978738 5 2048
255.4523996 0.000108 7.018507 248.4337846 5 4096
0.2720412 0.0001122 0.1267024 0.1452266 6 512
2.7025078 9.64e-05 0.7022806 2.0001308 6 1024
25.6568622 0.0001166 3.5732288 22.0835168 6 2048
235.6193638 9.64e-05 7.9835342 227.6357332 6 4096
0.3803866 6.88e-05 0.1451408 0.235177 7 512
2.5926446 9.62e-05 0.5681692 2.0243792 7 1024
24.5379892 8.36e-05 2.95952 21.5783856 7 2048
231.7828122 9.68e-05 8.9098634 222.872852 7 4096
0.376962 4.08e-05 0.1403958 0.2365254 8 512
2.4816118 7.18e-05 0.5455322 1.9360078 8 1024
21.7438444 0.0001122 2.2538406 19.4898916 8 2048
224.823027 0.0001102 9.0785844 215.7443324 8 4096
