#total_s init_s   gen_s    mult_s   cores mat_size
0.206786 0.000101 0.010790 0.195895 1 512
0.250920 0.000101 0.012926 0.237893 1 512
0.213285 0.000103 0.012881 0.200301 1 512
0.202880 0.000102 0.007839 0.194939 1 512
0.240743 0.000105 0.007472 0.233166 1 512
7.426597 0.000102 0.032204 7.394291 1 1024
7.330393 0.000103 0.033901 7.296389 1 1024
7.258880 0.000101 0.032754 7.226025 1 1024
7.227244 0.000038 0.025834 7.201372 1 1024
7.399402 0.000102 0.043635 7.355665 1 1024
73.794940 0.000102 0.083058 73.711780 1 2048
74.965592 0.000037 0.070259 74.895296 1 2048
74.698588 0.000099 0.084116 74.614373 1 2048
75.718912 0.000101 0.088560 75.630251 1 2048
73.576071 0.000100 0.084736 73.491235 1 2048
712.892804 0.000101 0.298345 712.594358 1 4096
723.002421 0.000103 0.292367 722.709951 1 4096
709.304318 0.000102 0.292710 709.011506 1 4096
715.163671 0.000102 0.289810 714.873759 1 4096
781.544611 0.000102 0.293260 781.251249 1 4096
0.265660 0.000040 0.104207 0.161413 2 512
0.263157 0.000111 0.102774 0.160272 2 512
0.260584 0.000111 0.099884 0.160589 2 512
0.261635 0.000109 0.100224 0.161302 2 512
0.263681 0.000040 0.102161 0.161480 2 512
4.238569 0.000110 0.420336 3.818123 2 1024
4.169859 0.000111 0.415479 3.754269 2 1024
4.116364 0.000109 0.397142 3.719113 2 1024
4.166607 0.000111 0.407713 3.758783 2 1024
4.173396 0.000110 0.411045 3.762241 2 1024
40.962820 0.000110 1.418113 39.544597 2 2048
40.737116 0.000111 1.583755 39.153250 2 2048
41.749754 0.000109 1.659357 40.090288 2 2048
41.819841 0.000110 1.723938 40.095793 2 2048
41.207431 0.000111 1.670994 39.536326 2 2048
386.320689 0.000039 6.952247 379.368403 2 4096
386.293981 0.000110 6.691557 379.602314 2 4096
388.180284 0.000110 6.676509 381.503665 2 4096
387.757712 0.000105 6.859361 380.898246 2 4096
388.044479 0.000105 6.718013 381.326361 2 4096
0.257060 0.000037 0.146598 0.110425 3 512
0.233961 0.000038 0.123695 0.110228 3 512
0.254045 0.000109 0.143045 0.110891 3 512
0.260513 0.000040 0.149037 0.111436 3 512
0.262635 0.000040 0.151717 0.110878 3 512
3.223560 0.000110 0.620879 2.602571 3 1024
3.220371 0.000146 0.607273 2.612952 3 1024
3.162072 0.000041 0.613252 2.548779 3 1024
3.160939 0.000040 0.609508 2.551391 3 1024
3.191903 0.000038 0.624855 2.567010 3 1024
32.182240 0.000113 5.151504 27.030623 3 2048
